LAMMPS (22 Jul 2025 - Update 3)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread.
  using 1 OpenMP thread(s) per MPI task
Lattice spacing in x,y,z = 2 2 2
Created orthogonal box = (0 0 0) to (12 12 12)
  1 by 1 by 1 MPI processor grid
Created 864 atoms
  using lattice units in orthogonal box = (0 0 0) to (12 12 12)
  create_atoms CPU = 0.001 seconds
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 2.8
  ghost atom cutoff = 2.8
  binsize = 1.4, bins = 9 9 9
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : lj
  Current step  : 0
  Time step     : 0.01
Per MPI rank memory allocation (min/avg/max) = 3.129 | 3.129 | 3.129 Mbytes
   Step          Temp          PotEng         KinEng         TotEng         Press          Volume    
      1900   1.00226       -3.3368848      1.50165       -1.8352348     -0.084795907    1728         
      1910   0.99057546    -3.320355       1.4841434     -1.8362116     -0.0072849012   1728         
      1920   0.98512919    -3.3114296      1.4759835     -1.8354461      0.057488893    1728         
      1930   1.0049696     -3.3420733      1.5057096     -1.8363636     -0.038598609    1728         
      1940   0.96926987    -3.2882022      1.452222      -1.8359802      0.06925683     1728         
      1950   0.99268296    -3.3224729      1.487301      -1.8351719     -0.022189529    1728         
      1960   0.99545297    -3.3277619      1.4914512     -1.8363106     -0.018274383    1728         
      1970   1.0043709     -3.3422088      1.5048127     -1.8373961     -0.025832201    1728         
      1980   1.0062603     -3.3453877      1.5076435     -1.8377443      0.035594535    1728         
      1990   1.0076819     -3.3469303      1.5097733     -1.837157       0.051757145    1728         
      2000   1.0203384     -3.3668643      1.5287362     -1.8381281      0.044732196    1728         
Loop time of 1.78773 on 1 procs for 2000 steps with 864 atoms

Performance: 966590.285 tau/day, 1118.739 timesteps/s, 966.590 katom-step/s
100.0% CPU use with 1 MPI tasks x 1 OpenMP threads

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Pair    | 0.68633    | 0.68633    | 0.68633    |   0.0 | 38.39
Neigh   | 0.77144    | 0.77144    | 0.77144    |   0.0 | 43.15
Comm    | 0.044316   | 0.044316   | 0.044316   |   0.0 |  2.48
Output  | 0.25864    | 0.25864    | 0.25864    |   0.0 | 14.47
Modify  | 0.017688   | 0.017688   | 0.017688   |   0.0 |  0.99
Other   |            | 0.009315   |            |       |  0.52

Nlocal:            864 ave         864 max         864 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Nghost:           1751 ave        1751 max        1751 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Neighs:          20036 ave       20036 max       20036 min
Histogram: 1 0 0 0 0 0 0 0 0 0

Total # of neighbors = 20036
Ave neighs/atom = 23.189815
Neighbor list builds = 487
Dangerous builds = 0
Total wall time: 0:00:01
